"Reference","Value","Footprint","QUANTITY"
"J1","Poti 1","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J2","Poti 2","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J3","Conn_01x11_Socket","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","1"
"J4","VCC","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J5","SET 1","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J6","SET 2","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J7","SET 3","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J8","SET 4","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J9","DIV","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"J10","GND","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","1"
"R1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"U1","VCAN16A2-03S-E3-08","analog_computing:VCAN16A2-03S-E3-08","1"
